stadtteil,straftaten_insgesamt_2023,straftaten_insgesamt_2024,straftaten_insgesamt_yoy_pct,raub_2023,raub_2024,raub_yoy_pct,strassenraub_2023,strassenraub_2024,strassenraub_yoy_pct,koerperverletzung_2023,koerperverletzung_2024,koerperverletzung_yoy_pct,gefaehrliche_koerperverletzung_2023,gefaehrliche_koerperverletzung_2024,gefaehrliche_koerperverletzung_yoy_pct,gewaltkriminalitaet_2023,gewaltkriminalitaet_2024,gewaltkriminalitaet_yoy_pct,diebstahl_insgesamt_2023,diebstahl_insgesamt_2024,diebstahl_insgesamt_yoy_pct,wohnungseinbruch_2023,wohnungseinbruch_2024,wohnungseinbruch_yoy_pct,kfz_diebstahl_2023,kfz_diebstahl_2024,kfz_diebstahl_yoy_pct,diebstahl_an_kfz_2023,diebstahl_an_kfz_2024,diebstahl_an_kfz_yoy_pct,fahrraddiebstahl_2023,fahrraddiebstahl_2024,fahrraddiebstahl_yoy_pct,ladendiebstahl_2023,ladendiebstahl_2024,ladendiebstahl_yoy_pct,taschendiebstahl_2023,taschendiebstahl_2024,taschendiebstahl_yoy_pct,sachbeschaedigung_2023,sachbeschaedigung_2024,sachbeschaedigung_yoy_pct,strassenkriminalitaet_2023,strassenkriminalitaet_2024,strassenkriminalitaet_yoy_pct,rauschgift_2023,rauschgift_2024,rauschgift_yoy_pct
Winterhude,4097.0,3915.0,-4.4,19.0,28.0,47.4,7.0,15.0,114.3,348.0,347.0,-0.3,85.0,75.0,-11.8,107.0,112.0,4.7,1950.0,1906.0,-2.3,61.0,98.0,60.7,32.0,56.0,75.0,281.0,296.0,5.3,566.0,473.0,-16.4,182.0,143.0,-21.4,175.0,105.0,-40.0,698.0,470.0,-32.7,28.0,36.0,28.6,83.0,58.0,-30.1
Uhlenhorst,1229.0,1256.0,2.2,6.0,2.0,-66.7,3.0,0.0,-100.0,89.0,92.0,3.4,15.0,18.0,20.0,24.0,21.0,-12.5,615.0,660.0,7.3,21.0,69.0,228.6,13.0,13.0,0.0,77.0,160.0,107.8,274.0,153.0,-44.2,20.0,19.0,-5.0,29.0,25.0,-13.8,156.0,141.0,-9.6,15.0,15.0,0.0,38.0,23.0,-39.5
Hohenfelde,1546.0,1334.0,-13.7,15.0,25.0,66.7,3.0,19.0,533.3,100.0,98.0,-2.0,30.0,21.0,-30.0,49.0,51.0,4.1,749.0,668.0,-10.8,23.0,27.0,17.4,11.0,11.0,0.0,195.0,142.0,-27.2,145.0,138.0,-4.8,77.0,50.0,-35.1,38.0,31.0,-18.4,110.0,100.0,-9.1,31.0,29.0,-6.5,43.0,31.0,-27.9
Barmbek-Süd,2766.0,2621.0,-5.2,18.0,21.0,16.7,5.0,5.0,0.0,195.0,248.0,27.2,41.0,58.0,41.5,65.0,83.0,27.7,1431.0,1300.0,-9.2,39.0,33.0,-15.4,31.0,31.0,0.0,172.0,154.0,-10.5,423.0,289.0,-31.7,176.0,215.0,22.2,78.0,63.0,-19.2,348.0,273.0,-21.6,39.0,49.0,25.6,82.0,55.0,-32.9
Dulsberg,1452.0,1333.0,-8.2,12.0,11.0,-8.3,6.0,5.0,-16.7,226.0,190.0,-15.9,58.0,56.0,-3.4,74.0,71.0,-4.1,393.0,430.0,9.4,24.0,19.0,-20.8,14.0,8.0,-42.9,51.0,66.0,29.4,60.0,83.0,38.3,36.0,46.0,27.8,15.0,26.0,73.3,146.0,137.0,-6.2,31.0,21.0,-32.3,250.0,166.0,-33.6
Barmbek-Nord,3839.0,3549.0,-7.6,32.0,28.0,-12.5,14.0,14.0,0.0,351.0,354.0,0.9,64.0,94.0,46.9,100.0,128.0,28.0,1772.0,1671.0,-5.7,36.0,31.0,-13.9,33.0,42.0,27.3,196.0,116.0,-40.8,320.0,269.0,-15.9,403.0,399.0,-1.0,113.0,119.0,5.3,442.0,373.0,-15.6,49.0,49.0,0.0,121.0,67.0,-44.6
Ohlsdorf,1468.0,1209.0,-17.6,8.0,18.0,125.0,4.0,8.0,100.0,113.0,106.0,-6.2,19.0,21.0,10.5,32.0,40.0,25.0,616.0,499.0,-19.0,21.0,41.0,95.2,17.0,25.0,47.1,119.0,59.0,-50.4,149.0,92.0,-38.3,82.0,40.0,-51.2,34.0,38.0,11.8,183.0,141.0,-23.0,6.0,7.0,16.7,212.0,111.0,-47.6
Fuhlsbüttel,4020.0,4311.0,7.2,11.0,6.0,-45.5,3.0,5.0,66.7,154.0,140.0,-9.1,28.0,25.0,-10.7,44.0,34.0,-22.7,787.0,766.0,-2.7,13.0,32.0,146.2,12.0,15.0,25.0,95.0,87.0,-8.4,79.0,40.0,-49.4,108.0,107.0,-0.9,161.0,72.0,-55.3,139.0,103.0,-25.9,1968.0,2368.0,20.3,51.0,31.0,-39.2
Langenhorn,3668.0,3339.0,-9.0,29.0,38.0,31.0,9.0,23.0,155.6,419.0,394.0,-6.0,90.0,97.0,7.8,124.0,141.0,13.7,1748.0,1523.0,-12.9,74.0,87.0,17.6,33.0,32.0,-3.0,131.0,195.0,48.9,263.0,184.0,-30.0,552.0,298.0,-46.0,94.0,115.0,22.3,427.0,365.0,-14.5,18.0,29.0,61.1,136.0,74.0,-45.6
Eilbek,1690.0,1595.0,-5.6,12.0,11.0,-8.3,8.0,5.0,-37.5,206.0,176.0,-14.6,42.0,40.0,-4.8,59.0,53.0,-10.2,761.0,704.0,-7.5,54.0,43.0,-20.4,18.0,32.0,77.8,115.0,114.0,-0.9,173.0,129.0,-25.4,68.0,79.0,16.2,53.0,49.0,-7.5,146.0,127.0,-13.0,24.0,35.0,45.8,69.0,33.0,-52.2
Wandsbek,4191.0,3924.0,-6.4,37.0,25.0,-32.4,14.0,12.0,-14.3,388.0,362.0,-6.7,83.0,69.0,-16.9,124.0,99.0,-20.2,2122.0,1997.0,-5.9,85.0,67.0,-21.2,35.0,49.0,40.0,195.0,224.0,14.9,194.0,193.0,-0.5,459.0,435.0,-5.2,274.0,244.0,-10.9,312.0,289.0,-7.4,77.0,89.0,15.6,139.0,77.0,-44.6
Marienthal,1674.0,1617.0,-3.4,13.0,7.0,-46.2,3.0,6.0,100.0,129.0,99.0,-23.3,31.0,26.0,-16.1,48.0,34.0,-29.2,722.0,760.0,5.3,33.0,32.0,-3.0,16.0,13.0,-18.8,118.0,80.0,-32.2,63.0,73.0,15.9,100.0,113.0,13.0,59.0,71.0,20.3,122.0,108.0,-11.5,200.0,158.0,-21.0,40.0,41.0,2.5
Jenfeld,2260.0,1992.0,-11.9,19.0,10.0,-47.4,4.0,4.0,0.0,319.0,315.0,-1.3,93.0,94.0,1.1,118.0,108.0,-8.5,926.0,703.0,-24.1,61.0,39.0,-36.1,37.0,26.0,-29.7,185.0,181.0,-2.2,77.0,61.0,-20.8,93.0,65.0,-30.1,63.0,86.0,36.5,203.0,249.0,22.7,47.0,28.0,-40.4,134.0,93.0,-30.6
