stadtteil,bezirk,straftaten_2024,straftaten_2023,aufklaerungsquote_2024,aufklaerungsquote_2023
Hamburg-Altstadt,Hamburg-Mitte,9747.0,6432.0,66.0,7737.0
HafenCity,Hamburg-Mitte,1247.0,316.0,25.3,1315.0
Neustadt,Hamburg-Mitte,4960.0,2300.0,46.4,4256.0
St. Pauli,Hamburg-Mitte,15943.0,7344.0,46.1,14982.0
St. Georg,Hamburg-Mitte,30089.0,22249.0,73.9,30945.0
Hammerbrook,Hamburg-Mitte,3692.0,1523.0,41.3,3006.0
Borgfelde,Hamburg-Mitte,914.0,342.0,37.4,728.0
Hamm,Hamburg-Mitte,3204.0,1206.0,37.6,3107.0
Horn,Hamburg-Mitte,3076.0,1404.0,45.6,2967.0
Billstedt,Hamburg-Mitte,7198.0,3548.0,49.3,6420.0
Billbrook,Hamburg-Mitte,648.0,252.0,38.9,673.0
Rothenburgsort,Hamburg-Mitte,1403.0,690.0,49.2,1351.0
Veddel,Hamburg-Mitte,883.0,321.0,36.4,676.0
Wilhelmsburg,Hamburg-Mitte,5280.0,2558.0,48.4,5211.0
Kleiner Grasbrook,Hamburg-Mitte,205.0,106.0,51.7,214.0
Steinwerder,Hamburg-Mitte,119.0,61.0,51.3,106.0
Waltershof,Hamburg-Mitte,110.0,49.0,44.5,106.0
Finkenwerder,Hamburg-Mitte,694.0,320.0,46.1,673.0
Insel Neuwerk,Hamburg-Mitte,1.0,1.0,100.0,1.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,89413.0,51022.0,57.1,84474.0
Hamburg-Altstadt,Hamburg-Mitte,70.0,40.0,57.1,89.0
HafenCity,Hamburg-Mitte,8.0,4.0,50.0,11.0
Neustadt,Hamburg-Mitte,42.0,16.0,38.1,57.0
St. Pauli,Hamburg-Mitte,277.0,78.0,28.2,387.0
St. Georg,Hamburg-Mitte,465.0,189.0,40.6,660.0
Hammerbrook,Hamburg-Mitte,32.0,12.0,37.5,26.0
Borgfelde,Hamburg-Mitte,5.0,3.0,60.0,6.0
Hamm,Hamburg-Mitte,32.0,18.0,56.3,21.0
Horn,Hamburg-Mitte,32.0,18.0,56.3,29.0
Billstedt,Hamburg-Mitte,59.0,31.0,52.5,70.0
Billbrook,Hamburg-Mitte,1.0,1.0,100.0,3.0
Rothenburgsort,Hamburg-Mitte,13.0,7.0,53.8,9.0
Veddel,Hamburg-Mitte,10.0,3.0,30.0,2.0
Wilhelmsburg,Hamburg-Mitte,52.0,22.0,42.3,27.0
Kleiner Grasbrook,Hamburg-Mitte,1.0,1.0,100.0,1.0
Steinwerder,Hamburg-Mitte,0.0,0.0,,0.0
Waltershof,Hamburg-Mitte,0.0,0.0,,0.0
Finkenwerder,Hamburg-Mitte,7.0,5.0,71.4,2.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,1106.0,448.0,40.5,1400.0
Hamburg-Altstadt,Hamburg-Mitte,33.0,16.0,48.5,37.0
HafenCity,Hamburg-Mitte,3.0,1.0,33.3,2.0
Neustadt,Hamburg-Mitte,19.0,8.0,42.1,35.0
St. Pauli,Hamburg-Mitte,193.0,41.0,21.2,272.0
St. Georg,Hamburg-Mitte,328.0,118.0,36.0,483.0
Hammerbrook,Hamburg-Mitte,18.0,6.0,33.3,20.0
Borgfelde,Hamburg-Mitte,3.0,1.0,33.3,3.0
Hamm,Hamburg-Mitte,11.0,2.0,18.2,9.0
Horn,Hamburg-Mitte,13.0,2.0,15.4,16.0
Billstedt,Hamburg-Mitte,29.0,10.0,34.5,38.0
Billbrook,Hamburg-Mitte,0.0,0.0,,1.0
Rothenburgsort,Hamburg-Mitte,3.0,3.0,100.0,5.0
Veddel,Hamburg-Mitte,3.0,1.0,33.3,2.0
Wilhelmsburg,Hamburg-Mitte,26.0,8.0,30.8,15.0
Kleiner Grasbrook,Hamburg-Mitte,0.0,0.0,,1.0
Steinwerder,Hamburg-Mitte,0.0,0.0,,0.0
Waltershof,Hamburg-Mitte,0.0,0.0,,0.0
Finkenwerder,Hamburg-Mitte,2.0,1.0,50.0,0.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,684.0,218.0,31.9,939.0
Hamburg-Altstadt,Hamburg-Mitte,437.0,323.0,73.9,405.0
HafenCity,Hamburg-Mitte,67.0,49.0,73.1,72.0
Neustadt,Hamburg-Mitte,421.0,315.0,74.8,380.0
St. Pauli,Hamburg-Mitte,2878.0,1850.0,64.3,2975.0
St. Georg,Hamburg-Mitte,2272.0,1684.0,74.1,2474.0
Hammerbrook,Hamburg-Mitte,276.0,230.0,83.3,313.0
Borgfelde,Hamburg-Mitte,117.0,96.0,82.1,83.0
Hamm,Hamburg-Mitte,378.0,309.0,81.7,400.0
Horn,Hamburg-Mitte,451.0,393.0,87.1,393.0
Billstedt,Hamburg-Mitte,958.0,829.0,86.5,984.0
Billbrook,Hamburg-Mitte,87.0,75.0,86.2,100.0
Rothenburgsort,Hamburg-Mitte,208.0,179.0,86.1,170.0
Veddel,Hamburg-Mitte,76.0,55.0,72.4,89.0
Wilhelmsburg,Hamburg-Mitte,644.0,537.0,83.4,740.0
Kleiner Grasbrook,Hamburg-Mitte,33.0,30.0,90.9,28.0
Steinwerder,Hamburg-Mitte,13.0,10.0,76.9,13.0
Waltershof,Hamburg-Mitte,16.0,12.0,75.0,19.0
Finkenwerder,Hamburg-Mitte,100.0,89.0,89.0,99.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,9432.0,7065.0,74.9,9737.0
Hamburg-Altstadt,Hamburg-Mitte,130.0,90.0,69.2,113.0
HafenCity,Hamburg-Mitte,12.0,9.0,75.0,22.0
Neustadt,Hamburg-Mitte,122.0,80.0,65.6,119.0
St. Pauli,Hamburg-Mitte,910.0,513.0,56.4,998.0
St. Georg,Hamburg-Mitte,729.0,481.0,66.0,800.0
Hammerbrook,Hamburg-Mitte,62.0,46.0,74.2,87.0
Borgfelde,Hamburg-Mitte,27.0,17.0,63.0,18.0
Hamm,Hamburg-Mitte,75.0,51.0,68.0,92.0
Horn,Hamburg-Mitte,108.0,88.0,81.5,84.0
Billstedt,Hamburg-Mitte,247.0,197.0,79.8,251.0
Billbrook,Hamburg-Mitte,20.0,18.0,90.0,28.0
Rothenburgsort,Hamburg-Mitte,55.0,43.0,78.2,42.0
Veddel,Hamburg-Mitte,17.0,11.0,64.7,26.0
Wilhelmsburg,Hamburg-Mitte,166.0,127.0,76.5,219.0
Kleiner Grasbrook,Hamburg-Mitte,9.0,7.0,77.8,9.0
Steinwerder,Hamburg-Mitte,1.0,1.0,100.0,1.0
Waltershof,Hamburg-Mitte,2.0,1.0,50.0,0.0
Finkenwerder,Hamburg-Mitte,19.0,19.0,100.0,22.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,2711.0,1799.0,66.4,2931.0
Hamburg-Altstadt,Hamburg-Mitte,6067.0,3492.0,57.6,4974.0
HafenCity,Hamburg-Mitte,764.0,62.0,8.1,828.0
Neustadt,Hamburg-Mitte,2305.0,399.0,17.3,1835.0
St. Pauli,Hamburg-Mitte,6516.0,929.0,14.3,6180.0
St. Georg,Hamburg-Mitte,9692.0,4083.0,42.1,9399.0
Hammerbrook,Hamburg-Mitte,1638.0,252.0,15.4,1321.0
Borgfelde,Hamburg-Mitte,449.0,51.0,11.4,328.0
Hamm,Hamburg-Mitte,1484.0,245.0,16.5,1377.0
Horn,Hamburg-Mitte,1294.0,220.0,17.0,1243.0
Billstedt,Hamburg-Mitte,3332.0,955.0,28.7,2588.0
Billbrook,Hamburg-Mitte,306.0,39.0,12.7,308.0
Rothenburgsort,Hamburg-Mitte,597.0,145.0,24.3,578.0
Veddel,Hamburg-Mitte,160.0,24.0,15.0,186.0
Wilhelmsburg,Hamburg-Mitte,2002.0,612.0,30.6,2016.0
Kleiner Grasbrook,Hamburg-Mitte,63.0,11.0,17.5,65.0
Steinwerder,Hamburg-Mitte,40.0,6.0,15.0,38.0
Waltershof,Hamburg-Mitte,30.0,4.0,13.3,29.0
Finkenwerder,Hamburg-Mitte,211.0,65.0,30.8,230.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,36950.0,11594.0,31.4,33523.0
Hamburg-Altstadt,Hamburg-Mitte,28.0,4.0,14.3,13.0
HafenCity,Hamburg-Mitte,15.0,2.0,13.3,19.0
Neustadt,Hamburg-Mitte,35.0,1.0,2.9,15.0
St. Pauli,Hamburg-Mitte,20.0,7.0,35.0,22.0
St. Georg,Hamburg-Mitte,23.0,3.0,13.0,34.0
Hammerbrook,Hamburg-Mitte,33.0,3.0,9.1,18.0
Borgfelde,Hamburg-Mitte,7.0,0.0,0.0,6.0
Hamm,Hamburg-Mitte,61.0,2.0,3.3,46.0
Horn,Hamburg-Mitte,45.0,3.0,6.7,39.0
Billstedt,Hamburg-Mitte,67.0,5.0,7.5,74.0
Billbrook,Hamburg-Mitte,19.0,1.0,5.3,21.0
Rothenburgsort,Hamburg-Mitte,20.0,3.0,15.0,23.0
Veddel,Hamburg-Mitte,6.0,1.0,16.7,6.0
Wilhelmsburg,Hamburg-Mitte,30.0,5.0,16.7,41.0
Kleiner Grasbrook,Hamburg-Mitte,0.0,0.0,,2.0
Steinwerder,Hamburg-Mitte,1.0,0.0,0.0,1.0
Waltershof,Hamburg-Mitte,0.0,0.0,,2.0
Finkenwerder,Hamburg-Mitte,2.0,0.0,0.0,0.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,412.0,40.0,9.7,382.0
Hamburg-Altstadt,Hamburg-Mitte,506.0,34.0,6.7,374.0
HafenCity,Hamburg-Mitte,75.0,1.0,1.3,92.0
Neustadt,Hamburg-Mitte,269.0,11.0,4.1,206.0
St. Pauli,Hamburg-Mitte,373.0,25.0,6.7,320.0
St. Georg,Hamburg-Mitte,920.0,59.0,6.4,889.0
Hammerbrook,Hamburg-Mitte,615.0,48.0,7.8,439.0
Borgfelde,Hamburg-Mitte,144.0,5.0,3.5,102.0
Hamm,Hamburg-Mitte,288.0,5.0,1.7,240.0
Horn,Hamburg-Mitte,289.0,4.0,1.4,253.0
Billstedt,Hamburg-Mitte,427.0,3.0,0.7,374.0
Billbrook,Hamburg-Mitte,102.0,3.0,2.9,133.0
Rothenburgsort,Hamburg-Mitte,167.0,3.0,1.8,170.0
Veddel,Hamburg-Mitte,50.0,2.0,4.0,49.0
Wilhelmsburg,Hamburg-Mitte,345.0,17.0,4.9,380.0
Kleiner Grasbrook,Hamburg-Mitte,26.0,0.0,0.0,21.0
Steinwerder,Hamburg-Mitte,9.0,0.0,0.0,7.0
Waltershof,Hamburg-Mitte,15.0,0.0,0.0,4.0
Finkenwerder,Hamburg-Mitte,20.0,0.0,0.0,10.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,4640.0,220.0,4.7,4063.0
Hamburg-Altstadt,Hamburg-Mitte,394.0,22.0,5.6,291.0
HafenCity,Hamburg-Mitte,150.0,6.0,4.0,137.0
Neustadt,Hamburg-Mitte,349.0,13.0,3.7,254.0
St. Pauli,Hamburg-Mitte,506.0,35.0,6.9,395.0
St. Georg,Hamburg-Mitte,572.0,67.0,11.7,431.0
Hammerbrook,Hamburg-Mitte,226.0,28.0,12.4,143.0
Borgfelde,Hamburg-Mitte,77.0,3.0,3.9,58.0
Hamm,Hamburg-Mitte,255.0,5.0,2.0,201.0
Horn,Hamburg-Mitte,101.0,3.0,3.0,139.0
Billstedt,Hamburg-Mitte,110.0,3.0,2.7,122.0
Billbrook,Hamburg-Mitte,9.0,2.0,22.2,18.0
Rothenburgsort,Hamburg-Mitte,33.0,4.0,12.1,40.0
Veddel,Hamburg-Mitte,13.0,0.0,0.0,32.0
Wilhelmsburg,Hamburg-Mitte,233.0,9.0,3.9,254.0
Kleiner Grasbrook,Hamburg-Mitte,9.0,0.0,0.0,13.0
Steinwerder,Hamburg-Mitte,2.0,0.0,0.0,0.0
Waltershof,Hamburg-Mitte,2.0,0.0,0.0,0.0
Finkenwerder,Hamburg-Mitte,48.0,0.0,0.0,55.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,3089.0,200.0,6.5,2583.0
Hamburg-Altstadt,Hamburg-Mitte,2814.0,2624.0,93.2,2411.0
HafenCity,Hamburg-Mitte,32.0,23.0,71.9,61.0
Neustadt,Hamburg-Mitte,338.0,218.0,64.5,277.0
St. Pauli,Hamburg-Mitte,379.0,354.0,93.4,247.0
St. Georg,Hamburg-Mitte,3081.0,2898.0,94.1,3002.0
Hammerbrook,Hamburg-Mitte,81.0,76.0,93.8,41.0
Borgfelde,Hamburg-Mitte,17.0,17.0,100.0,5.0
Hamm,Hamburg-Mitte,187.0,169.0,90.4,289.0
Horn,Hamburg-Mitte,144.0,130.0,90.3,159.0
Billstedt,Hamburg-Mitte,819.0,740.0,90.4,719.0
Billbrook,Hamburg-Mitte,6.0,3.0,50.0,2.0
Rothenburgsort,Hamburg-Mitte,111.0,101.0,91.0,108.0
Veddel,Hamburg-Mitte,7.0,6.0,85.7,2.0
Wilhelmsburg,Hamburg-Mitte,501.0,463.0,92.4,274.0
Kleiner Grasbrook,Hamburg-Mitte,0.0,0.0,,0.0
Steinwerder,Hamburg-Mitte,1.0,1.0,100.0,0.0
Waltershof,Hamburg-Mitte,1.0,1.0,100.0,0.0
Finkenwerder,Hamburg-Mitte,58.0,53.0,91.4,43.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,8577.0,7877.0,91.8,7640.0
Hamburg-Altstadt,Hamburg-Mitte,691.0,45.0,6.5,496.0
HafenCity,Hamburg-Mitte,147.0,4.0,2.7,70.0
Neustadt,Hamburg-Mitte,521.0,23.0,4.4,388.0
St. Pauli,Hamburg-Mitte,3155.0,190.0,6.0,2976.0
St. Georg,Hamburg-Mitte,2296.0,301.0,13.1,2028.0
Hammerbrook,Hamburg-Mitte,60.0,3.0,5.0,57.0
Borgfelde,Hamburg-Mitte,5.0,0.0,0.0,18.0
Hamm,Hamburg-Mitte,74.0,2.0,2.7,40.0
Horn,Hamburg-Mitte,91.0,1.0,1.1,63.0
Billstedt,Hamburg-Mitte,509.0,7.0,1.4,331.0
Billbrook,Hamburg-Mitte,6.0,0.0,0.0,9.0
Rothenburgsort,Hamburg-Mitte,23.0,1.0,4.3,18.0
Veddel,Hamburg-Mitte,10.0,2.0,20.0,19.0
Wilhelmsburg,Hamburg-Mitte,127.0,4.0,3.1,160.0
Kleiner Grasbrook,Hamburg-Mitte,1.0,0.0,0.0,2.0
Steinwerder,Hamburg-Mitte,5.0,0.0,0.0,1.0
Waltershof,Hamburg-Mitte,1.0,0.0,0.0,0.0
Finkenwerder,Hamburg-Mitte,5.0,0.0,0.0,8.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,7727.0,583.0,7.5,6684.0
Hamburg-Altstadt,Hamburg-Mitte,239.0,46.0,19.2,213.0
HafenCity,Hamburg-Mitte,124.0,13.0,10.5,100.0
Neustadt,Hamburg-Mitte,292.0,50.0,17.1,280.0
St. Pauli,Hamburg-Mitte,748.0,221.0,29.5,604.0
St. Georg,Hamburg-Mitte,519.0,139.0,26.8,502.0
Hammerbrook,Hamburg-Mitte,183.0,30.0,16.4,187.0
Borgfelde,Hamburg-Mitte,90.0,25.0,27.8,77.0
Hamm,Hamburg-Mitte,315.0,55.0,17.5,307.0
Horn,Hamburg-Mitte,284.0,75.0,26.4,294.0
Billstedt,Hamburg-Mitte,550.0,100.0,18.2,543.0
Billbrook,Hamburg-Mitte,73.0,8.0,11.0,59.0
Rothenburgsort,Hamburg-Mitte,108.0,27.0,25.0,108.0
Veddel,Hamburg-Mitte,49.0,5.0,10.2,64.0
Wilhelmsburg,Hamburg-Mitte,475.0,78.0,16.4,443.0
Kleiner Grasbrook,Hamburg-Mitte,26.0,1.0,3.8,38.0
Steinwerder,Hamburg-Mitte,9.0,2.0,22.2,13.0
Waltershof,Hamburg-Mitte,10.0,1.0,10.0,10.0
Finkenwerder,Hamburg-Mitte,59.0,11.0,18.6,61.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,4153.0,887.0,21.4,3903.0
Hamburg-Altstadt,Hamburg-Mitte,210.0,210.0,100.0,180.0
HafenCity,Hamburg-Mitte,2.0,2.0,100.0,16.0
Neustadt,Hamburg-Mitte,101.0,100.0,99.0,81.0
St. Pauli,Hamburg-Mitte,620.0,616.0,99.4,486.0
St. Georg,Hamburg-Mitte,2599.0,2590.0,99.7,2917.0
Hammerbrook,Hamburg-Mitte,95.0,95.0,100.0,110.0
Borgfelde,Hamburg-Mitte,9.0,9.0,100.0,13.0
Hamm,Hamburg-Mitte,35.0,35.0,100.0,47.0
Horn,Hamburg-Mitte,60.0,58.0,96.7,39.0
Billstedt,Hamburg-Mitte,120.0,120.0,100.0,121.0
Billbrook,Hamburg-Mitte,10.0,10.0,100.0,13.0
Rothenburgsort,Hamburg-Mitte,33.0,33.0,100.0,24.0
Veddel,Hamburg-Mitte,24.0,24.0,100.0,33.0
Wilhelmsburg,Hamburg-Mitte,116.0,116.0,100.0,100.0
Kleiner Grasbrook,Hamburg-Mitte,20.0,20.0,100.0,25.0
Steinwerder,Hamburg-Mitte,1.0,1.0,100.0,12.0
Waltershof,Hamburg-Mitte,4.0,4.0,100.0,4.0
Finkenwerder,Hamburg-Mitte,5.0,5.0,100.0,6.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,4064.0,4048.0,99.6,4227.0
