stadtteil,population,population_under_18,pct_under_18,population_65_plus,pct_65_plus,foreigners_count,pct_foreigners,migration_background_count,pct_migration_background,under_18_migration_count,pct_under_18_migration,persons_per_household,pct_single_parents,population_density_per_km2,employment_rate_pct,unemployment_rate_pct,youth_unemployment_rate_pct,pct_sgb2_welfare,pct_children_in_welfare,income_per_taxpayer_eur,avg_apartment_size_m2,living_space_per_person_m2,pct_social_housing,pct_students_stadtteilschule,pct_students_gymnasium,pkw_per_1000_residents
Marmstorf,9262,1584,17.1,2350,25.4,1568,16.9,3372,36.5,917,58.1,2.0,22.0,1585,62.0,4.4,2.1,6.6,12.7,43856,89.3,42.2,4.3,39.0,53.3,426.0
Eißendorf,25546,4505,17.6,4895,19.2,6178,24.2,11901,46.6,2929,65.0,1.9,24.4,3063,62.3,5.7,3.0,9.6,18.2,39906,78.9,39.0,4.5,49.7,43.8,357.0
Heimfeld,22773,4039,17.7,3377,14.8,6812,29.9,11874,52.1,2837,70.4,1.8,26.8,1751,61.9,7.0,2.9,12.1,22.8,35432,71.3,33.7,17.3,44.0,41.5,283.0
Moorburg und Altenwerder,722,138,19.1,119,16.5,85,11.8,148,20.6,34,24.6,1.9,39.0,43,,,,10.8,14.5,90378,99.5,45.4,0.0,56.6,17.0,511.0
Hausbruch,16953,3205,18.9,3638,21.5,3277,19.3,9664,56.9,2324,72.3,2.1,26.6,1724,60.5,7.3,3.6,13.3,22.5,37599,85.1,36.8,14.0,57.2,33.7,365.0
Neugraben-Fischbek,34443,7610,22.1,6357,18.5,7449,21.6,17792,51.6,5099,67.1,2.1,24.7,1529,61.3,7.3,3.7,13.5,22.3,39313,87.1,38.2,7.4,60.7,33.4,358.0
Francop,738,120,16.3,127,17.2,149,20.2,199,26.7,37,30.8,2.0,19.7,84,,,,5.6,8.8,44865,98.6,46.5,0.0,,,535.0
Neuenfelde,5228,1242,23.8,750,14.3,1752,33.5,2790,53.4,842,68.1,2.2,22.2,334,57.2,7.7,4.3,17.4,32.0,41666,95.5,37.4,15.1,65.8,30.4,403.0
Cranz,826,147,17.8,160,19.4,243,29.4,370,44.8,100,67.6,1.9,27.3,620,,,,11.1,25.6,35209,87.7,43.1,0.0,,,436.0
Hamburg-Mitte,312641,51124,16.4,44233,14.1,97048,31.0,168521,54.9,37812,74.1,1.8,30.7,2198,58.6,8.2,4.1,15.4,29.0,33806,66.4,32.5,14.5,63.4,32.5,252.0
Altona,280838,50084,17.8,50339,17.9,51821,18.5,102547,36.5,25017,49.9,1.8,25.2,3605,58.4,6.1,2.6,9.1,15.9,61260,81.1,41.3,6.6,44.0,50.9,321.0
Eimsbüttel,276222,43197,15.6,50958,18.4,46766,16.9,91447,33.1,20406,47.3,1.7,23.3,5546,62.8,4.9,2.3,6.4,12.2,53876,76.5,40.7,3.8,40.1,55.5,323.0
Hamburg-Nord,328454,46305,14.1,51758,15.8,56252,17.1,108078,32.9,22736,49.2,1.6,24.7,5686,64.8,5.5,2.6,7.4,14.4,51265,68.9,39.4,6.0,45.7,51.3,300.0
Wandsbek,455185,80776,17.7,96288,21.2,81052,17.8,171199,37.6,43691,54.2,1.9,24.9,3086,61.2,5.8,2.7,9.3,17.7,48342,83.9,41.3,7.1,48.6,47.3,383.0
Bergedorf,133813,24685,18.4,25762,19.3,24155,18.1,56675,42.4,14370,58.3,2.0,26.3,865,62.8,5.7,2.4,10.9,20.4,41066,83.6,38.7,12.5,58.6,37.4,386.0
Harburg,176868,33282,18.8,30365,17.2,50316,28.4,93238,52.7,23468,70.6,1.9,25.5,1414,60.3,7.0,3.4,13.0,24.2,36456,77.7,35.8,9.2,56.0,36.5,328.0
Hamburg,1964021,329453,16.8,349703,17.8,407410,20.7,791705,40.4,187500,57.0,1.8,25.7,2601,61.3,6.2,3.0,10.0,18.9,48035,76.4,38.8,8.0,49.9,45.4,326.2
