Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
09K06,Hans-Grade-Schule,Treptow-Köpenick,"Heubergerweg 37, 12487 Berlin",445,37,441,37,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://hans-grade-schule.de/,104,134,129,,,3,6.3,6.1,Johannisthal
11K01,Alexander-Puschkin-Schule,Lichtenberg,"Massower Straße 37, 10315 Berlin",440,42,468,49,"Englisch, Französisch, Latein, Russisch, Spanisch",https://www.puschkinschule.eu/,104,184,177,,,3,15.2,24.4,Friedrichsfelde
04K09,Otto-von-Guericke-Schule,Charlottenburg-Wilmersdorf,"Eisenzahnstraße 47-48, 10709 Berlin",436,47,429,44,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch",http://www.ovgos.de/,104,87,84,,,5,46.3,51.3,Wilmersdorf
12K09,Carl-Benz-Schule,Reinickendorf,"Heidenheimer Straße 53-54, 13467 Berlin",432,47,433,45,"Englisch, Französisch, Spanisch",https://carl-benz-oberschule.de/,104,94,90,,,4,35.6,36.7,Hermsdorf
07K09,Gustav-Langenscheidt-Schule,Tempelhof-Schöneberg,"Belziger Straße 43-51, 10823 Berlin",419,48,404,45,"Englisch, Französisch, Spanisch",https://gustav-langenscheidt-schule.de/,104,33,32,,,5,87.6,83.7,Schöneberg
07K11,Hugo-Gaudig-Schule,Tempelhof-Schöneberg,"Boelckestraße 58-60, 12101 Berlin",417,46,428,46,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.hugo-gaudig-schule.de/,104,93,89,,,5,88.0,84.1,Tempelhof
02K10,Ferdinand-Freiligrath-Schule,Friedrichshain-Kreuzberg,"Bergmannstraße 64, 10961 Berlin",417,43,333,41,"Englisch, Französisch, Spanisch",https://www.ferdinand-freiligrath-schule.de/,130,151,116,2.76,2.84,4,64.0,68.5,Kreuzberg
12K01,Julius-Leber-Schule,Reinickendorf,"Treskowstraße 26-31, 13507 Berlin",409,42,416,42,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.jls-berlin.de/,100,138,138,,,5,60.6,57.5,Tegel
08K10,Zuckmayer-Schule,Neukölln,"Kopfstraße 55, 12053 Berlin",409,45,402,41,"Englisch, Französisch, Türkisch",https://zuckmayer-schule.de/,108,46,43,,,6,90.5,91.0,Neukölln
12K10,Carl-Bosch-Schule,Reinickendorf,"Frohnauer Straße 74-80, 13467 Berlin",407,40,406,41,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.carlbosch.de/,100,35,35,,,3,51.4,45.8,Hermsdorf
