Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,MSA_Notendurchschnitt_Bezirk_2024,MSA_Bestehensquote_Bezirk_2024,MSA_Plus_Quote_Bezirk_2024,MSA_Teilnehmer_Bezirk_2024,MSA_Notendurchschnitt_Bezirk_2023,MSA_Bestehensquote_Bezirk_2023,MSA_Plus_Quote_Bezirk_2023,MSA_Teilnehmer_Bezirk_2023,Hat_Abitur,Leistungsdaten_Quelle,Notendurchschnitt_2024,Notendurchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
07K07,Johanna-Eck-Schule,Tempelhof-Schöneberg,"Ringstraße 103-106, 12105 Berlin",566,74,591.0,72.0,"Englisch, Französisch, Spanisch",https://johanna-eck-schule.de/,104.0,150.0,144.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,5.0,78.3,80.0,Tempelhof
01K08,Schule am Schillerpark,Mitte,"Ofener Straße 6, 13349 Berlin",564,71,595.0,71.0,"Englisch, Französisch",https://www.schule-am-schillerpark.de/,156.0,81.0,52.0,,,2.6,63.0,38.0,1150,2.6,62.0,37.0,1120,False,Bezirk_MSA,2.6,2.6,5.0,89.4,92.8,Wedding
12K07,Jean-Krämer-Schule,Reinickendorf,"Alt-Wittenau 8-12, 13437 Berlin",551,61,524.0,62.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://jeankraemerschule.info,168.0,37.0,22.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,6.0,71.0,71.2,Wittenau
10K09,Konrad-Wachsmann-Schule,Marzahn-Hellersdorf,"Geithainer Straße 12, 12627 Berlin",549,52,527.0,53.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://konrad-wachsmann-schule.de/,104.0,78.0,75.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,5.0,39.5,37.4,Hellersdorf
02K03,Hector-Peterson-Schule,Friedrichshain-Kreuzberg,"Tempelhofer Ufer 15, 10963 Berlin",549,64,513.0,59.0,"Englisch, Französisch, Türkisch",https://hps-berlin.schule,135.0,33.0,24.0,,,2.5,67.0,43.0,980,2.5,66.0,42.0,960,False,Bezirk_MSA,2.5,2.5,5.0,86.7,79.3,Kreuzberg
01K09,Hedwig-Dohm-Schule,Mitte,"Stephanstraße 27, 10559 Berlin",541,64,498.0,63.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://hedwig-dohm-os.de/,100.0,60.0,60.0,,,2.6,63.0,38.0,1150,2.6,62.0,37.0,1120,False,Bezirk_MSA,2.6,2.6,6.0,82.3,81.3,Moabit
08K11,Alfred-Nobel-Schule,Neukölln,"Britzer Damm 164-170, 12347 Berlin",540,56,539.0,56.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://alfred-nobel-schule.de/,156.0,91.0,58.0,,,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,False,Bezirk_MSA,2.7,2.7,5.0,80.7,77.4,Britz
02K08,Refik-Veseli-Schule,Friedrichshain-Kreuzberg,"Skalitzer Straße 55, 10997 Berlin",536,78,545.0,82.0,"Englisch, Spanisch, Französisch, Türkisch",https://refik-veseli-schule.eu/,135.0,59.0,44.0,2.69,2.55,2.5,67.0,43.0,980,2.5,66.0,42.0,960,True,Schule_Abitur,2.69,2.55,5.0,63.2,62.6,Kreuzberg
05K09,Schule am Staakener Kleeblatt,Spandau,"Brunsbütteler Damm 431-437, 13591 Berlin",526,49,411.0,35.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.schuleamstaakenerkleeblatt.de/,182.0,11.0,6.0,3.1,,2.5,68.0,44.0,1050,2.5,67.0,43.0,1030,True,Schule_Abitur,3.1,2.5,4.0,83.3,77.6,Staaken
12K11,Albrecht-Haushofer-Schule,Reinickendorf,"Kurzebracker Weg 40-46, 13503 Berlin",525,52,543.0,51.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.albrecht-haushofer-schule.de/,182.0,12.0,7.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,4.0,57.1,46.2,Heiligensee
