stop_name,stop_type,transit_type,lines,latitude,longitude
Ziethenstraße,,Metrobus,M11,53.5769346949511,10.101788599606655
Fuhlsbütteler Weg,,Metrobus,M24,53.62290430632369,9.956067362920487
Kohövedstraße,,Metrobus,M16,53.60843210043611,10.144889451582122
Birkenallee,,Metrobus,M26,53.60067728458289,10.137485758884157
Holzmühlenstraße,,Metrobus,M9,53.577029831156075,10.083684316007805
Eichtalstraße,,Metrobus,M9,53.57779629707029,10.08853045136809
Kurfürstenstraße,,Metrobus,M9,53.57940977394472,10.098141886456235
Ölmühlenweg (Süd),,Metrobus,M9,53.58070684682964,10.101304986441887
Birtstraße,,Metrobus,M11,53.57574565909094,10.093124460424118
Heinrich-Helbing-Straße,,Metrobus,M18,53.594140490915564,10.057753160185616
Kedenburgstraße,,Metrobus,M11,53.57609837130348,10.087783999012519
Bauernrosenweg,,Metrobus,M18,53.59838085388842,10.065465493367638
Karlshöhe,,Metrobus,"M17,M27",53.623621107241824,10.111373526393626
Tegelweg,,Metrobus,M26,53.60628151683715,10.106608213630299
Herzog-Bruno-Weg,,Metrobus,M24,53.624921292319804,9.947565839674432
Haldesdorfer Straße (Nord),,Metrobus,M26,53.60667419855479,10.088556422240787
Wendlohstraße,,Metrobus,M24,53.63039058358091,9.939613768147975
Heselstücken,,Metrobus,M23,53.61879559014665,10.000243327007228
Vietinghoffweg,,Metrobus,M24,53.63365469108928,9.94123982366864
An der Lohe,,Metrobus,M24,53.620527598668325,9.951388474963757
Graf-Anton-Weg,,Metrobus,M24,53.627801357066964,9.944995531281126
Herthastraße,,Metrobus,"M8,M17,M18",53.610561597824855,10.074267301940507
Gottschalkweg,,Metrobus,M24,53.63646561226597,9.943232076581921
Bramfelder Dorfplatz (Heukoppel),,Metrobus,"M18,M8",53.61285948781229,10.077188770412688
Vielohweg (Mitte),,Metrobus,"M24,M21",53.638708196599126,9.945306472023677
U Niendorf Nord,,Metrobus,"M21,M24",53.64032071459118,9.949478872209903
Großlohe,,Metrobus,M26,53.60293212648706,10.18119684990858
Hoffmannstieg,,Metrobus,M26,53.60370768225182,10.17911318884924
Prehnsweg,,Metrobus,M26,53.60486103541719,10.17655383456321
Bekstück,,Metrobus,M23,53.60955765369934,9.96506858591487
Schweriner Straße,,Metrobus,"M29,M26",53.60514129382021,10.160900611106491
Pommernweg,,Metrobus,M24,53.64216686120971,9.955585789682932
Geesthachter Weg,,Metrobus,"M29,M11",53.58848950811892,10.172293923610514
Kielkoppelstraße,,Metrobus,"M11,M29",53.58905934544144,10.166657036960935
Lademannbogen,,Metrobus,M24,53.6481115710141,10.036547763579575
Kinderkrankenhaus Wilhelmstift,,Metrobus,"M29,M11",53.58895715291381,10.162195855863748
Am Ohlendorffturm,,Metrobus,M29,53.594999834203854,10.169749131299815
Eggerskamp,,Metrobus,M24,53.611914570638646,10.156441694150935
Paeplowstieg,,Metrobus,M23,53.61621493053405,9.9875731628214
Amtsstraße,,Metrobus,M29,53.59666242822089,10.16276255084796
Buchwaldstraße,,Metrobus,M29,53.59928948191355,10.161607177039533
Altes Rathaus Rahlstedt,,Metrobus,M29,53.602742597080955,10.157290273206147
